# Mwm name	Generation time
Vietnam	102940.859554
Taiwan_North	94391.138636
India_Uttar Pradesh	88451.73289500001
Mexico_Mexico	67833.53254700001
Mexico_South	65675.34391899999
Pakistan	42397.174279
Poland_Masovian Voivodeship	41132.045588
Tanzania	40419.128848
Taiwan_South	37057.219408
Kenya	35986.420049
Netherlands_North Holland_Amsterdam	34088.168285
Brazil_Northeast Region_West	33212.060667
Germany_Baden-Wurttemberg_Regierungsbezirk Karlsruhe	30511.368252
Egypt	29312.549243999998
Poland_Lesser Poland Voivodeship	29074.45204
Germany_Baden-Wurttemberg_Regierungsbezirk Stuttgart_Stuttgart	29040.438404
Germany_Hesse_Regierungsbezirk Darmstadt	27778.128308
Nigeria_South	27148.185832000003
US_California_LA	26635.921105999998
Germany_Rhineland-Palatinate_Koblenz	25945.486433
US_California_Santa_Clara_Palo Alto	25497.451963
India_Bihar	24766.67302
Thailand_Central	24579.716019
WorldCoasts	24300.517981
World	21593.377504
France_Ile-de-France_Paris	6221.188363
France_Ile-de-France_Seine-Saint-Denis	3137.038158
France_Ile-de-France_Val-dOise	1632.566852
Germany_Free State of Bavaria_Swabia	24255.430699
Australia_Melbourne	23981.254444000002
Myanmar	23177.078456
India_West Bengal	22492.791746
Netherlands_South Holland_Den Haag	22300.856854
India_Tamil Nadu	22276.531648
Hungary_Northern Great Plain	22165.666699999998
India_Rajasthan	22002.106136
Netherlands_South Holland_Rotterdam	21521.548074000002
Canada_Quebek_Montreal	21126.237462999998
US_Texas_Dallas	21003.205005
India_Maharashtra	20941.052536
Poland_Silesian Voivodeship	20896.07714
Germany_Free State of Bavaria_Lower Franconia	20831.710258
Austria_Lower Austria_Wien	20792.468193
Germany_Baden-Wurttemberg_Regierungsbezirk Tubingen	20696.827229
Malawi	20361.940271
Germany_Thuringia	20351.267708
Brazil_Bahia	20288.081288
Germany_Baden-Wurttemberg_Regierungsbezirk Freiburg	19896.170234
US_Colorado_Denver	19893.799129
India_Punjab	19861.709404
US_New York_West	18965.688052
India_Haryana	18861.279732000003
US_Arizona_Phoenix	18148.094953
Poland_Lower Silesian Voivodeship	18119.269268
UK_England_West Midlands	18043.70139
Mozambique	18036.118342
Germany_Saxony_Leipzig	17947.722342
UK_England_Greater London	17878.232911
US_New York_New York	17713.976839
US_Illinois_Chickago	17413.664229
Serbia	17412.106575
Spain_Castile-La Mancha	17084.206085
India_Andhra Pradesh	17015.463168000002
Thailand_South	16899.701942
Austria_Lower Austria_West	16784.999389
US_Pennsylvania_Reading	16775.329969
Poland_Greater Poland Voivodeship	16482.358018
Germany_Hesse_Regierungsbezirk Kassel	16325.912894
Nigeria_North	16231.273159
France_Champagne-Ardenne	16128.168456000001
US_Maryland_Baltimore	14898.754742
UK_England_South West England_Bristol	14835.855581
Portugal_Viseu	14791.397339000001
Poland_Subcarpathian Voivodeship	14790.901969
Germany_Free State of Bavaria_Middle Franconia	14675.593541
India_Madhya Pradesh	14526.108988
Japan_Kanto_Tokyo	14298.492736999999
Spain_Catalonia_Provincia de Barcelona	14078.539368
US_Florida_Miami	13988.471148999999
China_Yunnan	13600.030966999999
Germany_North Rhine-Westphalia_Regierungsbezirk Koln_Koln	13565.935652
Indonesia_Jawa Tengah	13561.327840000002
Hungary_Transdanubia	13178.985371
US_Tennessee_West	13089.980008
Mexico_Central_West	13055.474194
US_Indiana_North	12923.132097
Poland_Lublin Voivodeship	12860.981341
Germany_Free State of Bavaria_Upper Palatinate	12772.166483
US_Connecticut	12726.313737
UK_England_East Midlands	12586.801839000002
US_Ohio_Cleveland	12504.534347
Brazil_Southeast Region_Minas Gerais_Contagem	12364.055127
Belgium_Flemish Brabant	12141.371380999999
US_New York_East	12127.109095
Slovenia_East	12032.08575
US_Michigan_Detroit	12020.411788
UK_England_South East_Oxford	11972.553015
Zambia	11891.914626
Germany_North Rhine-Westphalia_Regierungsbezirk Detmold	11832.527344
US_Georgia_Atlanta	11385.397154
US_Nevada	11357.308328000001
New Zealand North_Auckland	11296.799419
Iran_North	11007.222533
Uganda	10936.422803
US_Ohio_Cincinnati	10935.986281
US_Texas_Houston	10840.187997
Poland_Lodz Voivodeship	10761.685367999999
US_Tennessee_East	10761.609464000001
US_Maryland_and_DC	10686.678616
US_California_San Diego	10597.50273
France_Limousin	10475.502288
Netherlands_Utrecht_Utrecht	10416.367062000001
Canada_Ontario_Toronto	10310.213259
Netherlands_North Brabant_Eindhoven	10310.120516
US_Florida_Tampa	10259.765679
Germany_Free State of Bavaria_Upper Franconia	10257.047681
Germany_Free State of Bavaria_Lower Bavaria	10198.994352
Mexico_Central_East	10162.633888999999
Bangladesh	10144.959768
Germany_Baden-Wurttemberg_Regierungsbezirk Stuttgart_Heilbronn	10117.483682999999
US_North Carolina_Charlotte	10043.115836
Ireland_Leinster	9942.841756
Germany_Berlin	9923.168008
UK_England_South East_Brighton	9902.85208
China_Hebei	9833.462914
Netherlands_Limburg	9824.131619
Germany_Lower Saxony_Oldenburg	9802.130115
US_Wisconsin_Milwaukee	9781.374491
Kazakhstan_South	9693.699182
Indonesia_Jawa Barat	9679.6283
US_Washington_Seattle	9643.148148
Spain_Valencian Community	9626.420225
US_Alabama_Montgomery	9621.983828
US_Michigan_Lansing	9583.594287
US_Indiana_Indianapolis	9506.217642
Germany_Rhineland-Palatinate_South	9467.72219
US_Florida_Jacksonville	9452.486334
US_Massachusetts_Boston	9414.309517
UK_England_North West England_Manchester	9413.262545
Japan_Kanto_Saitama	9317.268329999999
Germany_North Rhine-Westphalia_Regierungsbezirk Arnsberg_Dortmund	9274.283503
Brazil_Southeast Region_Minas Gerais_North	9181.474945
Czech_Jihovychod_Jihomoravsky kraj	9125.425191
US_Oregon_Portland	9082.288867
Germany_Hesse_Regierungsbezirk Giessen	8989.374345999999
Spain_Castile and Leon_West	8796.537448
France_Rhone-Alpes_Rhone	8711.71718
US_Texas_Austin	8690.271504
US_Pennsylvania_Pittsburgh	8608.010421
Germany_North Rhine-Westphalia_Regierungsbezirk Dusseldorf_Dusseldorf	8589.754387
Austria_Styria_Graz	8567.881216
Portugal_Porto	8544.434916
UK_England_Yorkshire and the Humber	8502.243172999999
Germany_North Rhine-Westphalia_Regierungsbezirk Arnsberg_Arnsberg	8395.180589
US_New York_North	8359.564234
Switzerland_Espace Mittelland_Bern	8323.54138
US_Utah_North	8316.328749
Brazil_Southeast Region_Sao Paulo_Campinas	8224.391581
US_Michigan_Grand Rapids	8223.777555
Japan_Kanto_Kanagawa	8198.670404999999
US_Washington_Coast	8182.491098
France_Upper Normandy	8163.790370000001
Netherlands_Gelderland_North	8149.100359
US_North Carolina_Raleigh	8125.256369
Netherlands_North Brabant_Tiburg	8115.652613
France_Nord-Pas-de-Calais_Lille	7999.647129
Italy_Tuscany_Massa e Carrara	7970.127927
Spain_Castile and Leon_East	7930.384058000001
Germany_North Rhine-Westphalia_Regierungsbezirk Koln_Aachen	7846.41325
Bulgaria_West	7788.977175
US_North Carolina_Greensboro	7707.53431
Indonesia_Jawa Timur	7686.080061
US_Missouri_St Louis	7669.313902999999
France_Midi-Pyrenees_Haute-Garonne	7654.371497
US_Virginia_Lynchburg	7609.159638
US_Kansas_East	7589.152547000001
Spain_Aragon	7471.419915
US_Virginia_Alexandria	7358.6653719999995
Germany_Free State of Bavaria_Upper Bavaria_Munchen	7342.324046
Argentina_Buenos Aires_Buenos Aires	7317.186635
Mali	7252.919701000001
Morocco_Southern	7230.901376
US_Illinois_Elgin	7219.042303
US_Idaho_South	7210.843008
Brazil_Southeast Region_Sao Paulo_City	7148.447962
